Item,CCI,contributor,/cci_items/cci_item/definition,Note,Parameter,publishdate,creator,index,location,title,version,status,Type,publishdate2,version2
715,CCI-000525,DISA FSO,The organization establishes alternate telecommunication services including necessary agreements to permit the resumption of organization-defined information system operations for essential business functions within an organization-defined time period when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
716,CCI-000526,DISA FSO,The organization develops primary telecommunications service agreements that contain priority-of-service provisions in accordance with the organization's availability requirements (including recovery time objectives).,,,9/21/09,NIST,CP-8 (1) (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
716,CCI-000526,DISA FSO,The organization develops primary telecommunications service agreements that contain priority-of-service provisions in accordance with the organization's availability requirements (including recovery time objectives).,,,9/21/09,NIST,CP-8 (1).1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
716,CCI-000526,DISA FSO,The organization develops primary telecommunications service agreements that contain priority-of-service provisions in accordance with the organization's availability requirements (including recovery time objectives).,,,9/21/09,NIST,CP-8 (1) (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
716,CCI-000526,DISA FSO,The organization develops primary telecommunications service agreements that contain priority-of-service provisions in accordance with the organization's availability requirements (including recovery time objectives).,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
717,CCI-000527,DISA FSO,The organization develops alternate telecommunications service agreements that contain priority-of-service provisions in accordance with the organization's availability requirements (including recovery time objectives).,,,9/21/09,NIST,CP-8 (1) (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
717,CCI-000527,DISA FSO,The organization develops alternate telecommunications service agreements that contain priority-of-service provisions in accordance with the organization's availability requirements (including recovery time objectives).,,,9/21/09,NIST,CP-8 (1).1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
717,CCI-000527,DISA FSO,The organization develops alternate telecommunications service agreements that contain priority-of-service provisions in accordance with the organization's availability requirements (including recovery time objectives).,,,9/21/09,NIST,CP-8 (1) (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
717,CCI-000527,DISA FSO,The organization develops alternate telecommunications service agreements that contain priority-of-service provisions in accordance with the organization's availability requirements (including recovery time objectives).,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
718,CCI-000528,DISA FSO,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary telecommunications services are provided by a common carrier.,,,9/21/09,NIST,CP-8 (1) (b),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
718,CCI-000528,DISA FSO,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary telecommunications services are provided by a common carrier.,,,9/21/09,NIST,CP-8 (1).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
718,CCI-000528,DISA FSO,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary telecommunications services are provided by a common carrier.,,,9/21/09,NIST,CP-8 (1) (b),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
718,CCI-000528,DISA FSO,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary telecommunications services are provided by a common carrier.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
719,CCI-000529,DISA FSO,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the alternate telecommunications services are provided by a common carrier.,,,9/21/09,NIST,CP-8 (1) (b),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
719,CCI-000529,DISA FSO,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the alternate telecommunications services are provided by a common carrier.,,,9/21/09,NIST,CP-8 (1).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
719,CCI-000529,DISA FSO,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the alternate telecommunications services are provided by a common carrier.,,,9/21/09,NIST,CP-8 (1) (b),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
719,CCI-000529,DISA FSO,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the alternate telecommunications services are provided by a common carrier.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
720,CCI-000530,DISA FSO,The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.,,,9/21/09,NIST,CP-8 (2),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
720,CCI-000530,DISA FSO,The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.,,,9/21/09,NIST,CP-8 (2).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
720,CCI-000530,DISA FSO,The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.,,,9/21/09,NIST,CP-8 (2),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
720,CCI-000530,DISA FSO,The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
721,CCI-000531,DISA FSO,The organization obtains alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.,,,9/21/09,NIST,CP-8 (3),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
721,CCI-000531,DISA FSO,The organization obtains alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.,,,9/21/09,NIST,CP-8 (3).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
721,CCI-000531,DISA FSO,The organization obtains alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.,,,9/21/09,NIST,CP-8 (3),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
721,CCI-000531,DISA FSO,The organization obtains alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
722,CCI-000532,DISA FSO,The organization requires primary telecommunications service providers to have contingency plans.,,,9/21/09,NIST,CP-8 (4),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
722,CCI-000532,DISA FSO,The organization requires primary telecommunications service providers to have contingency plans.,,,9/21/09,NIST,CP-8 (4).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
722,CCI-000532,DISA FSO,The organization requires primary telecommunications service providers to have contingency plans.,,,9/21/09,NIST,CP-8 (4) (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
722,CCI-000532,DISA FSO,The organization requires primary telecommunications service providers to have contingency plans.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
723,CCI-000533,DISA FSO,The organization requires alternate telecommunications service providers to have contingency plans.,,,9/21/09,NIST,CP-8 (4),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
723,CCI-000533,DISA FSO,The organization requires alternate telecommunications service providers to have contingency plans.,,,9/21/09,NIST,CP-8 (4).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
723,CCI-000533,DISA FSO,The organization requires alternate telecommunications service providers to have contingency plans.,,,9/21/09,NIST,CP-8 (4) (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
723,CCI-000533,DISA FSO,The organization requires alternate telecommunications service providers to have contingency plans.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
724,CCI-001609,DISA FSO,The organization can activate the redundant secondary information system that is not collocated with the primary system without loss of information or disruption to operations.,,,5/12/10,NIST,CP-9 (6),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
724,CCI-001609,DISA FSO,The organization can activate the redundant secondary information system that is not collocated with the primary system without loss of information or disruption to operations.,,,5/12/10,NIST,CP-9 (6).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
724,CCI-001609,DISA FSO,The organization can activate the redundant secondary information system that is not collocated with the primary system without loss of information or disruption to operations.,,,5/12/10,NIST,CP-9 (6),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
724,CCI-001609,DISA FSO,The organization can activate the redundant secondary information system that is not collocated with the primary system without loss of information or disruption to operations.,,,5/12/10,,,,,,draft,policy,5/14/14,5/14/14
725,CCI-000534,DISA FSO,The organization defines the frequency of conducting user-level information backups to support recovery time objectives and recovery point objectives.,,,9/21/09,NIST,CP-9 (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
725,CCI-000534,DISA FSO,The organization defines the frequency of conducting user-level information backups to support recovery time objectives and recovery point objectives.,,,9/21/09,NIST,CP-9 (6).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
725,CCI-000534,DISA FSO,The organization defines the frequency of conducting user-level information backups to support recovery time objectives and recovery point objectives.,,,9/21/09,NIST,CP-9 (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
725,CCI-000534,DISA FSO,The organization defines the frequency of conducting user-level information backups to support recovery time objectives and recovery point objectives.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
726,CCI-000535,DISA FSO,The organization conducts backups of user-level information contained in the information system per organization-defined frequency that is consistent with recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
726,CCI-000535,DISA FSO,The organization conducts backups of user-level information contained in the information system per organization-defined frequency that is consistent with recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9.1 (iv),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
726,CCI-000535,DISA FSO,The organization conducts backups of user-level information contained in the information system per organization-defined frequency that is consistent with recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (a),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
726,CCI-000535,DISA FSO,The organization conducts backups of user-level information contained in the information system per organization-defined frequency that is consistent with recovery time and recovery point objectives.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
727,CCI-000536,DISA FSO,The organization defines the frequency of conducting system-level information backups to support recovery time objectives and recovery point objectives.,,,9/21/09,NIST,CP-9 (b),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
727,CCI-000536,DISA FSO,The organization defines the frequency of conducting system-level information backups to support recovery time objectives and recovery point objectives.,,,9/21/09,NIST,CP-9.1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
727,CCI-000536,DISA FSO,The organization defines the frequency of conducting system-level information backups to support recovery time objectives and recovery point objectives.,,,9/21/09,NIST,CP-9 (b),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
727,CCI-000536,DISA FSO,The organization defines the frequency of conducting system-level information backups to support recovery time objectives and recovery point objectives.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
728,CCI-000537,DISA FSO,The organization conducts backups of system-level information contained in the information system per organization-defined frequency that is consistent with recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (b),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
728,CCI-000537,DISA FSO,The organization conducts backups of system-level information contained in the information system per organization-defined frequency that is consistent with recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9.1 (v),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
728,CCI-000537,DISA FSO,The organization conducts backups of system-level information contained in the information system per organization-defined frequency that is consistent with recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (b),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
728,CCI-000537,DISA FSO,The organization conducts backups of system-level information contained in the information system per organization-defined frequency that is consistent with recovery time and recovery point objectives.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
729,CCI-000538,DISA FSO,"The organization defines the frequency of conducting information system documentation backups, including security-related documentation, to support recovery time objectives and recovery point objectives.",,,9/21/09,NIST,CP-9 (c),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
729,CCI-000538,DISA FSO,"The organization defines the frequency of conducting information system documentation backups, including security-related documentation, to support recovery time objectives and recovery point objectives.",,,9/21/09,NIST,CP-9.1 (iii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
729,CCI-000538,DISA FSO,"The organization defines the frequency of conducting information system documentation backups, including security-related documentation, to support recovery time objectives and recovery point objectives.",,,9/21/09,NIST,CP-9 (c),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
729,CCI-000538,DISA FSO,"The organization defines the frequency of conducting information system documentation backups, including security-related documentation, to support recovery time objectives and recovery point objectives.",,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
730,CCI-000539,DISA FSO,"The organization conducts backups of information system documentation, including security-related documentation, per an organization-defined frequency that is consistent with recovery time and recovery point objectives.",,,9/21/09,NIST,CP-9 (c),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
730,CCI-000539,DISA FSO,"The organization conducts backups of information system documentation, including security-related documentation, per an organization-defined frequency that is consistent with recovery time and recovery point objectives.",,,9/21/09,NIST,CP-9.1 (vi),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
730,CCI-000539,DISA FSO,"The organization conducts backups of information system documentation, including security-related documentation, per an organization-defined frequency that is consistent with recovery time and recovery point objectives.",,,9/21/09,NIST,CP-9 (c),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
730,CCI-000539,DISA FSO,"The organization conducts backups of information system documentation, including security-related documentation, per an organization-defined frequency that is consistent with recovery time and recovery point objectives.",,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
731,CCI-000540,DISA FSO,"The organization protects the confidentiality, integrity, and availability of backup information at storage locations.",,,9/21/09,NIST,CP-9 (d),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
731,CCI-000540,DISA FSO,"The organization protects the confidentiality, integrity, and availability of backup information at storage locations.",,,9/21/09,NIST,CP-9.2,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
731,CCI-000540,DISA FSO,"The organization protects the confidentiality, integrity, and availability of backup information at storage locations.",,,9/21/09,NIST,CP-9 (d),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
731,CCI-000540,DISA FSO,"The organization protects the confidentiality, integrity, and availability of backup information at storage locations.",,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
732,CCI-000541,DISA FSO,The organization defines the frequency with which to test backup information to verify media reliability and information integrity.,,,9/21/09,NIST,CP-9 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
732,CCI-000541,DISA FSO,The organization defines the frequency with which to test backup information to verify media reliability and information integrity.,,,9/21/09,NIST,CP-9 (1).1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
732,CCI-000541,DISA FSO,The organization defines the frequency with which to test backup information to verify media reliability and information integrity.,,,9/21/09,NIST,CP-9 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
732,CCI-000541,DISA FSO,The organization defines the frequency with which to test backup information to verify media reliability and information integrity.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
733,CCI-000542,DISA FSO,The organization tests backup information per an organization-defined frequency to verify media reliability and information integrity.,,,9/21/09,NIST,CP-9 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
733,CCI-000542,DISA FSO,The organization tests backup information per an organization-defined frequency to verify media reliability and information integrity.,,,9/21/09,NIST,CP-9 (1).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
733,CCI-000542,DISA FSO,The organization tests backup information per an organization-defined frequency to verify media reliability and information integrity.,,,9/21/09,NIST,CP-9 (1),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
733,CCI-000542,DISA FSO,The organization tests backup information per an organization-defined frequency to verify media reliability and information integrity.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
734,CCI-000543,DISA FSO,The organization uses a sample of backup information in the restoration of selected information system functions as part of contingency plan testing.,,,9/21/09,NIST,CP-9 (2),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
734,CCI-000543,DISA FSO,The organization uses a sample of backup information in the restoration of selected information system functions as part of contingency plan testing.,,,9/21/09,NIST,CP-9 (2).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
734,CCI-000543,DISA FSO,The organization uses a sample of backup information in the restoration of selected information system functions as part of contingency plan testing.,,,9/21/09,NIST,CP-9 (2),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
734,CCI-000543,DISA FSO,The organization uses a sample of backup information in the restoration of selected information system functions as part of contingency plan testing.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
735,CCI-000544,DISA FSO,The organization stores backup copies of the operating system in a separate facility or in a fire-rated container that is not colocated with the operational system.,,,9/21/09,NIST,CP-9 (3),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
735,CCI-000544,DISA FSO,The organization stores backup copies of the operating system in a separate facility or in a fire-rated container that is not colocated with the operational system.,,,9/21/09,NIST,CP-9 (3).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
735,CCI-000544,DISA FSO,The organization stores backup copies of the operating system in a separate facility or in a fire-rated container that is not colocated with the operational system.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
736,CCI-000545,DISA FSO,The organization stores backup copies of critical information system software in a separate facility or in a fire-rated container that is not colocated with the operational system.,,,9/21/09,NIST,CP-9 (3),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
736,CCI-000545,DISA FSO,The organization stores backup copies of critical information system software in a separate facility or in a fire-rated container that is not colocated with the operational system.,,,9/21/09,NIST,CP-9 (3).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
736,CCI-000545,DISA FSO,The organization stores backup copies of critical information system software in a separate facility or in a fire-rated container that is not colocated with the operational system.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
737,CCI-000546,DISA FSO,"The organization stores backup copies of the information system inventory (including hardware, software, and firmware components) in a separate facility or in a fire-rated container that is not colocated with the operational system.",,,9/21/09,NIST,CP-9 (3),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
737,CCI-000546,DISA FSO,"The organization stores backup copies of the information system inventory (including hardware, software, and firmware components) in a separate facility or in a fire-rated container that is not colocated with the operational system.",,,9/21/09,NIST,CP-9 (3).1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
737,CCI-000546,DISA FSO,"The organization stores backup copies of the information system inventory (including hardware, software, and firmware components) in a separate facility or in a fire-rated container that is not colocated with the operational system.",,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
738,CCI-000547,DISA FSO,The organization defines the time period and transfer rate of the information system backup information to the alternate storage site consistent with the recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
738,CCI-000547,DISA FSO,The organization defines the time period and transfer rate of the information system backup information to the alternate storage site consistent with the recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (5).1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
738,CCI-000547,DISA FSO,The organization defines the time period and transfer rate of the information system backup information to the alternate storage site consistent with the recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
738,CCI-000547,DISA FSO,The organization defines the time period and transfer rate of the information system backup information to the alternate storage site consistent with the recovery time and recovery point objectives.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
739,CCI-000548,DISA FSO,The organization transfers information system backup information to the alternate storage site in accordance with the organization-defined time period and transfer rate consistent with the recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
739,CCI-000548,DISA FSO,The organization transfers information system backup information to the alternate storage site in accordance with the organization-defined time period and transfer rate consistent with the recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (5).1 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
739,CCI-000548,DISA FSO,The organization transfers information system backup information to the alternate storage site in accordance with the organization-defined time period and transfer rate consistent with the recovery time and recovery point objectives.,,,9/21/09,NIST,CP-9 (5),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
739,CCI-000548,DISA FSO,The organization transfers information system backup information to the alternate storage site in accordance with the organization-defined time period and transfer rate consistent with the recovery time and recovery point objectives.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
740,CCI-000549,DISA FSO,The organization maintains a redundant secondary information system that is not collocated with the primary system.,,,9/21/09,NIST,CP-9 (6),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
740,CCI-000549,DISA FSO,The organization maintains a redundant secondary information system that is not collocated with the primary system.,,,9/21/09,NIST,CP-9 (6).1 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
740,CCI-000549,DISA FSO,The organization maintains a redundant secondary information system that is not collocated with the primary system.,,,9/21/09,NIST,CP-9 (6),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
740,CCI-000549,DISA FSO,The organization maintains a redundant secondary information system that is not collocated with the primary system.,,,9/21/09,,,,,,draft,policy,5/14/14,5/14/14
741,CCI-000756,DISA FSO,"The organization develops an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,9/17/09,NIST,IA-1 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
741,CCI-000756,DISA FSO,"The organization develops an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,9/17/09,NIST,IA-1.1 (i) (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
741,CCI-000756,DISA FSO,"The organization develops an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,9/17/09,NIST,IA-1 a 1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
741,CCI-000756,DISA FSO,"The organization develops an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,9/17/09,,,,,,draft,policy,5/14/14,5/14/14
742,CCI-000757,DISA FSO,"The organization disseminates to organization-defined personnel or roles an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,9/17/09,NIST,IA-1 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
742,CCI-000757,DISA FSO,"The organization disseminates to organization-defined personnel or roles an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,9/17/09,NIST,IA-1.1 (iii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
742,CCI-000757,DISA FSO,"The organization disseminates to organization-defined personnel or roles an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,9/17/09,NIST,IA-1 a 1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
742,CCI-000757,DISA FSO,"The organization disseminates to organization-defined personnel or roles an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,9/17/09,,,,,,draft,policy,5/14/14,5/14/14
743,CCI-000758,DISA FSO,The organization reviews and updates identification and authentication policy in accordance with the organization-defined frequency.,,,9/17/09,NIST,IA-1 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
743,CCI-000758,DISA FSO,The organization reviews and updates identification and authentication policy in accordance with the organization-defined frequency.,,,9/17/09,NIST,IA-1.2 (ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
743,CCI-000758,DISA FSO,The organization reviews and updates identification and authentication policy in accordance with the organization-defined frequency.,,,9/17/09,NIST,IA-1 b 1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
743,CCI-000758,DISA FSO,The organization reviews and updates identification and authentication policy in accordance with the organization-defined frequency.,,,9/17/09,,,,,,draft,policy,5/14/14,5/14/14
744,CCI-000759,DISA FSO,The organization defines a frequency for reviewing and updating the identification and authentication policy.,,,9/17/09,NIST,IA-1 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
